id,shape
1220028003,"4255.85,2844.72 4193.20,2821.88"
1220028004,"3936.64,2728.31 3895.57,2713.28"
1220028005,"3895.57,2713.28 3722.07,2649.81"
1220028102,"3980.05,2714.36 4177.98,2786.52"
1220028103,"4202.79,2795.57 4265.44,2818.41"
1220028104,"3731.69,2623.51 3905.20,2686.99"
1220028105,"3905.20,2686.99 3946.26,2702.01"
1220028201,"1979.62,2830.65 1713.31,2739.18"
1220028202,"2076.48,2864.33 2004.80,2839.36"
1220028301,"1720.33,2718.75 1986.64,2810.22"
1220028302,"2011.91,2818.96 2083.58,2843.93"
1220028802,"4405.21,2898.78 4315.06,2866.20"
1220028803,"4563.39,2955.05 4430.29,2907.77"
1220028902,"4324.57,2839.87 4414.73,2872.45"
1220028903,"4439.66,2881.39 4572.76,2928.68"
1220029001,"2232.96,2919.89 2130.04,2883.20"
1220029002,"2439.70,2991.50 2263.92,2930.74"
1220029003,"2567.10,3036.70 2464.65,3000.25"
1220029102,"2137.29,2862.85 2240.22,2899.53"
1220029103,"2270.98,2910.33 2446.75,2971.09"
1220029104,"2471.90,2979.90 2574.35,3016.35"
1220029201,"3632.43,2788.77 3689.25,2647.36"
1220029202,"3427.84,3297.26 3524.53,3057.30 3621.42,2816.17"
1220029301,"3709.29,2655.41 3652.48,2796.82"
1220029302,"3641.47,2824.23 3544.56,3065.36 3447.88,3305.33"
1220029400,"4768.31,2996.79 4679.71,2979.61"
1220029500,"4685.04,2952.13 4773.64,2969.31"
1220029601,"1459.71,3375.73 1514.40,3212.59 1681.51,2737.46"
1220029602,"1432.36,3445.91 1450.48,3400.77"
1220029701,"1701.89,2744.63 1534.83,3219.61 1480.18,3382.60"
1220029702,"1470.52,3408.82 1452.40,3453.95"
1220029802,"2024.94,2950.93 2080.16,2876.24"
1220029803,"1829.60,3366.43 1831.11,3348.89 1835.81,3319.29 1846.95,3269.44 1865.26,3215.97 1876.92,3187.10 1899.00,3142.59 1936.17,3075.88 1974.39,3019.57 2001.44,2982.81"
1220029804,"1832.34,3510.00 1828.61,3424.31 1828.87,3399.01 1828.86,3396.69"
1220029805,"1834.74,3590.64 1833.79,3552.25"
1220029901,"2102.67,2892.89 2047.46,2967.58"
1220029902,"2023.99,2999.40 1997.25,3035.74 1960.03,3090.58 1923.78,3155.64 1902.47,3198.58 1891.51,3225.76 1873.94,3277.05 1863.33,3324.54 1858.93,3352.29 1857.50,3368.84"
1220029903,"1856.86,3396.59 1856.87,3399.11 1856.61,3423.85 1860.31,3508.78"
1220029904,"1861.78,3551.56 1862.73,3589.95"
1220030001,"3075.43,3210.94 2940.52,3165.66 2600.26,3048.32"
1220030002,"3211.42,3257.59 3101.11,3219.69"
1220030003,"3406.53,3325.33 3393.25,3321.45 3236.39,3266.27"
1220030101,"2607.30,3027.90 2947.48,3145.22 3082.31,3190.45"
1220030102,"3108.12,3199.26 3218.44,3237.16"
1220030103,"3243.56,3245.89 3399.86,3300.89 3412.58,3304.60"
1220030402,"923.88,3293.70 794.98,3247.16"
1220030403,"1168.93,3382.95 948.72,3302.71"
1220030404,"1229.77,3404.57 1194.03,3391.95"
1220030405,"1413.15,3472.11 1254.74,3413.59"
1220030406,"770.29,3238.35 723.56,3221.87"
1220030407,"723.56,3221.87 614.82,3183.52"
1220030502,"802.31,3226.84 931.22,3273.38"
1220030503,"956.12,3282.42 1176.32,3362.66"
1220030504,"1201.22,3371.58 1236.96,3384.20"
1220030505,"1262.22,3393.33 1420.64,3451.85"
1220030506,"622.00,3163.15 730.75,3201.49"
